,Variable 0,Variable 1,Variable 2,Sujeto,Año
399,-0.23292999,0.7138039,0.6219745,3233,2
400,-0.30277714,-0.7767848,1.0043955,3233,4
401,1.0714817,1.1220493,1.6651171,3234,0
402,0.91518104,0.9241613,1.4728374,3234,1
403,0.9652743,-0.76174134,2.0098007,3234,2
404,1.0332638,0.9395979,1.7449934,3234,4
405,0.33819783,0.7366418,1.0074344,3237,0
406,0.9516259,0.8574148,0.42243665,3251,0
407,1.0456467,0.61840844,0.45109764,3251,1
408,0.49765894,-1.1978757,1.4498198,3251,2
409,-0.47504222,-0.32366347,1.8710767,3252,0
410,-0.021301188,-0.090661325,1.4140294,3252,1
411,-0.009620875,0.31237322,1.8955309,3252,2
412,-0.66711295,-0.101711914,2.1006503,3253,0
413,-0.8788426,-0.23934965,1.7486863,3253,1
414,-0.6840019,-0.013753414,0.6831414,3254,0
415,-0.17274755,-0.1487061,0.6407877,3254,1
416,-1.0141904,-0.28169605,0.8904173,3256,0
417,-1.9516293,0.21175154,1.5076098,3257,1
418,-0.36257392,-0.039290607,2.3231175,3260,0
419,-1.4325174,-0.2069218,1.7612354,3262,0
420,-0.15613118,0.9268051,0.48013568,3264,0
421,-0.9531497,0.066964954,1.6426817,3267,0
422,-0.597343,0.21387905,1.512328,3267,1
423,-0.55200475,-2.2302976,1.2050823,3268,0
424,-0.5435594,-1.256333,1.2000582,3268,1
425,-0.3002723,-0.08006859,1.4008645,3269,0
426,0.29176608,-0.74592876,1.9383602,3269,1
427,-0.777129,-0.32502824,1.4189663,3270,0
428,-0.872105,0.25931755,1.7763093,3271,0
429,-0.5770126,-1.4046105,1.2274121,3272,0
430,-0.70622045,-1.0630707,1.0141672,3272,1
431,0.06111009,-0.2577883,1.2654792,3274,0
432,-1.2285575,-0.07205526,1.7468954,3275,0
433,-0.8707243,-0.22711144,1.5565261,3275,1
434,-1.0095656,0.30872464,1.3146685,3276,0
435,-0.62957263,-0.18287984,0.7853039,3277,0
436,0.29595625,-0.24872062,1.844487,3278,0
437,0.08329335,-0.97310287,1.8638449,3278,1
438,0.6185757,0.30327588,0.097911485,3279,0
439,0.22666211,-0.082814746,0.7516121,3280,0
440,0.439923,0.01029335,-0.11194068,3281,0
441,-1.0231465,0.035377942,2.6367354,3282,0
442,1.5125705,0.51447135,0.5072421,3284,0
443,0.18966839,-0.23507361,0.6659164,3285,0
444,-0.73621714,-1.0266404,1.0649763,3288,0
445,-0.68418217,0.06628297,0.8670389,3290,0
446,0.17131093,1.6463078,-0.44752383,3300,0
447,0.91491055,2.273004,1.0733967,3301,0
448,-0.43619603,1.1845914,1.3250195,3304,0
449,0.786404,0.86688596,0.016909204,3305,0
450,0.37957087,-0.35562104,0.8248258,3305,1
451,0.3368404,0.8682356,1.1304286,3307,0
452,-0.08316819,1.0906063,1.0668274,3307,1
453,0.49027216,-0.3436198,0.90390074,3307,2
454,1.694289,-0.22605968,0.8187591,3307,4
455,-0.320692,-0.012226046,1.4552984,3308,0
456,-0.6936763,-0.29354462,1.5346645,3308,2
457,-0.32190913,-0.16871339,1.4502974,3308,4
458,-0.08394639,0.3402938,0.77736217,3309,0
459,0.14509849,0.033941068,1.3923042,3309,1
460,0.15262252,0.17569907,0.7301506,3309,2
461,-0.077523425,0.03153623,0.76814485,3309,4
462,-0.118984886,0.4529236,0.46680114,3310,0
463,-0.24130872,0.48098743,0.7682471,3311,0
464,0.035495035,0.8850455,-0.10180962,3312,1
465,-0.083252326,1.7490298,0.18168598,3312,2
466,-0.16602296,1.5861745,0.28450444,3312,4
467,1.4633864,1.0713943,0.21825206,3313,0
468,1.5354294,-0.6814881,0.30453697,3313,1
469,-0.89865035,-0.24275477,0.8273047,3318,0
470,-0.96876925,-0.27026367,0.83841646,3319,0
471,-1.2914695,-0.4729188,0.9215638,3319,2
472,1.4745485,0.8464488,-0.47653577,3321,0
473,0.47561958,-0.6484297,0.0845371,3321,2
474,0.18045463,-0.08566332,1.1643344,3322,0
475,0.4678544,-0.32731175,0.15286045,3323,0
476,0.35322282,-0.5229222,0.12333843,3323,1
477,2.0618176,-0.030826893,-0.6677765,3324,2
478,-0.11163138,-0.10283032,1.037271,3325,4
479,0.19688153,0.34575006,0.1889374,3326,0
480,-0.41925386,0.27469718,0.66306317,3327,0
481,-0.22111864,0.3732345,1.2697119,3327,2
482,0.23051901,-0.86310476,0.9093739,3327,4
483,-0.0058443397,-1.3107394,1.3881483,3328,0
484,0.09492207,-1.4443064,1.0578072,3328,1
485,0.7887554,-1.3395141,1.5920007,3328,2
486,1.1661383,0.692899,0.36370978,3330,0
487,0.7568579,0.63878256,-0.11572678,3333,0
488,0.24936444,0.9308421,0.6246,3351,0
489,0.14948356,0.4170511,0.6524408,3352,0
490,0.18762842,-0.25399494,0.60222834,3352,1
491,0.56976575,0.01100719,0.46555114,3352,2
492,0.41983956,-1.2337328,1.7546357,3352,4
493,0.8081855,1.5720403,0.012252793,3354,0
494,0.4658706,-1.1678041,1.6604855,3354,1
495,0.593947,1.3886518,0.5249765,3354,2
496,3.4559608,-0.13131256,1.2421364,3354,4
497,-0.3913883,0.59197366,0.2477698,3355,0
498,0.6409508,1.1151134,0.27690274,3356,0
499,0.47209358,0.89769495,0.45717677,3356,2
500,0.79370224,0.024973728,0.1905467,3359,0
501,1.2025356,0.08493896,0.120575026,3359,1
502,1.1642374,0.16412336,0.06526892,3359,2
503,1.2992007,-1.2762195,0.59307903,3359,4
504,0.1846664,0.37009123,-0.0958858,3360,2
505,0.47762096,-0.9398959,0.5780299,3360,4
506,0.04952851,0.60057825,0.94810724,3361,0
507,-0.2381392,0.6463283,0.26970196,3362,0
508,-0.91420263,0.24331382,1.5610682,3363,0
509,-0.044638716,0.6826944,1.329978,3364,2
510,0.5405761,-1.0787966,1.3599569,3364,4
511,0.09681434,0.18312976,0.41638905,3365,0
512,0.48514524,0.12346484,0.61376464,3365,1
513,-0.15470481,0.067727074,0.74056816,3365,2
514,0.240361,-0.12861556,0.56429094,3365,4
515,1.6629971,1.3420163,-0.07086122,3366,1
516,1.6969725,1.3257673,-0.084159195,3366,2
517,0.8818156,-1.0981709,0.6515297,3366,4
518,1.4941964,1.159339,0.8442038,3367,0
519,0.89528173,-0.75066936,1.5375717,3367,1
520,1.1687864,0.865812,1.0143771,3367,2
521,1.0511695,-1.1151928,1.546911,3367,4
522,0.09466162,1.0340409,0.65196,3368,0
523,-0.6106336,0.7373973,0.756539,3370,0
524,-0.1315254,-0.002677083,1.2642643,3371,0
525,-0.10912061,-0.31566018,1.0916232,3371,1
526,0.30153537,-0.5656575,0.93250024,3371,2
527,-0.2512061,0.46992347,1.0824943,3373,0
528,-0.9365538,-0.037910856,1.5474843,3373,1
529,-0.59507823,-0.60132414,1.4173412,3373,2
530,-0.8859543,0.113963455,1.8148562,3373,4
531,-0.1052258,-0.0868108,0.98286957,3374,0
532,-0.46426928,-0.14824113,0.77130806,3374,1
533,-0.059685595,-0.25153935,1.4192564,3374,2
534,-0.5411452,0.08678196,1.0910529,3374,4
535,-0.6681168,0.634116,2.2912378,3377,0
536,-0.89579,0.65758705,2.0113127,3377,1
537,-0.27180082,0.7562799,1.9400761,3377,2
538,-0.63800246,0.80416286,2.1492763,3377,4
539,0.7940514,0.5001862,1.5534415,3380,1
